Kod teryt.;Nazwa jednostki;Liczba mieszkańców;Liczba wyborców ujętych w rejestrze wyborców
301704;gm. Ostrów Wielkopolski;18846;15000
301705;gm. Przygodzice;11963;9544
301706;gm. Raszków;11772;9287
301707;gm. Sieroszewice;9754;7733
301708;gm. Sośnie;6636;5264
301801;gm. Czajków;2567;2092
301802;gm. Doruchów;5344;4162
301803;gm. Grabów nad Prosną;7842;6290
301804;gm. Kobyla Góra;6069;4755
301805;gm. Kraszewice;3628;2851
301806;gm. Mikstat;6158;4955
301807;gm. Ostrzeszów;23528;18833
301901;m. Piła;71140;58311
301902;gm. Białośliwie;4881;3824
301903;gm. Kaczory;7752;6160
301904;gm. Łobżenica;9775;7614
301905;gm. Miasteczko Krajeńskie;3245;2595
301906;gm. Szydłowo;8660;6777
301907;gm. Ujście;8044;6482
301908;gm. Wyrzysk;14025;11123
301909;gm. Wysoka;6784;5351
302001;gm. Chocz;4743;3836
302002;gm. Czermin;4919;3844
302003;gm. Dobrzyca;8279;6521
302004;gm. Gizałki;4682;3683
302005;gm. Gołuchów;10463;8288
302006;gm. Pleszew;29291;23948
302101;m. Luboń;29586;23287
302102;m. Puszczykowo;9339;7881
302103;gm. Buk;12099;9647
302104;gm. Czerwonak;25739;20422
302105;gm. Dopiewo;22245;16682
302106;gm. Kleszczewo;7223;5389
302107;gm. Komorniki;24395;18002
302108;gm. Kostrzyn;17344;13755
302109;gm. Kórnik;23400;17883
302110;gm. Mosina;30021;23552
302111;gm. Murowana Goślina;16447;13206
302112;gm. Pobiedziska;18527;14832
302113;gm. Rokietnica;14766;11185
302114;gm. Stęszew;14821;11849
302115;gm. Suchy Las;15713;11971
302116;gm. Swarzędz;45720;35916
302117;gm. Tarnowo Podgórne;23927;18427
302201;gm. Bojanowo;8963;7067
302202;gm. Jutrosin;7185;5555
302203;gm. Miejska Górka;9473;7465
302204;gm. Pakosław;4820;3670
302205;gm. Rawicz;29568;23871
302301;m. Słupca;13793;11430
302302;gm. Lądek;5864;4739
302303;gm. Orchowo;3960;3126
302304;gm. Ostrowite;5160;4180
302305;gm. Powidz;2252;1871
302306;gm. Słupca;9488;7563
302307;gm. Strzałkowo;10207;8066
302308;gm. Zagórów;8965;7214
302401;m. Obrzycko;2384;1930
302402;gm. Duszniki;8723;6819
302403;gm. Kaźmierz;7946;6270
302404;gm. Obrzycko;4409;3481
302405;gm. Ostroróg;4949;3914
302406;gm. Pniewy;12245;9744
302407;gm. Szamotuły;28762;23186
302408;gm. Wronki;18670;15017
302501;gm. Dominowo;2978;2297
302502;gm. Krzykosy;6829;5382
302503;gm. Nowe Miasto nad Wartą;9086;7192
302504;gm. Środa Wielkopolska;30819;24804
302505;gm. Zaniemyśl;6621;5286
302601;gm. Brodnica;4914;3864
302602;gm. Dolsk;5857;4630
302603;gm. Książ Wielkopolski;8599;6666
302604;gm. Śrem;40227;32242
302701;m. Turek;27684;23128
302702;gm. Brudzew;6003;4770
302703;gm. Dobra;6275;5026
302704;gm. Kawęczyn;5292;4248
302705;gm. Malanów;6553;5158
302706;gm. Przykona;4454;3557
302707;gm. Tuliszków;10714;8481
302708;gm. Turek;9199;7114
302709;gm. Władysławów;8221;6479
302801;m. Wągrowiec;24493;19990
302802;gm. Damasławek;5598;4403
302803;gm. Gołańcz;8491;6579
302804;gm. Mieścisko;6108;4755
302805;gm. Skoki;9147;7192
302806;gm. Wapno;3070;2426
302807;gm. Wągrowiec;12091;9253
302901;gm. Przemęt;14066;11005
302902;gm. Siedlec;12524;9662
302903;gm. Wolsztyn;29810;23786
303001;gm. Kołaczkowo;6025;4742
303002;gm. Miłosław;10358;8326
303003;gm. Nekla;7265;5784
303004;gm. Pyzdry;7193;5809
303005;gm. Września;44578;35738
303101;m. Złotów;17944;14771
303102;gm. Jastrowie;11582;9171
303103;gm. Krajenka;7521;5957
303104;gm. Lipka;5654;4397
303105;gm. Okonek;8824;7042
303106;gm. Tarnówka;3152;2480
303107;gm. Zakrzewo;4974;3945
303108;gm. Złotów;9457;7340
306101;m. Kalisz;98634;81983
306201;m. Konin;73873;62046
306301;m. Leszno;61860;50506
306401;m. Poznań;496887;411160
320101;m. Białogard;23170;19076
320102;gm. Białogard;7727;6218
320103;gm. Karlino;9035;7193
320104;gm. Tychowo;6900;5491
320201;gm. Bierzwnik;4870;3960
320202;gm. Choszczno;21434;17474
320203;gm. Drawno;5173;4272
320204;gm. Krzęcin;3753;3053
320205;gm. Pełczyce;7900;6297
320206;gm. Recz;5572;4528
320301;gm. Czaplinek;11911;9626
320302;gm. Drawsko Pomorskie;16562;13471
320303;gm. Kalisz Pomorski;7333;5824
320304;gm. Ostrowice;2610;2058
320305;gm. Wierzchowo;4429;3585
320306;gm. Złocieniec;15140;12392
320402;gm. Goleniów;34442;27630
320403;gm. Maszewo;8552;6841
320404;gm. Nowogard;23940;19377
320405;gm. Osina;2971;2337
320406;gm. Przybiernów;5049;4058
320407;gm. Stepnica;4824;3898
320501;gm. Brojce;3851;2977
320502;gm. Gryfice;23369;19163
320503;gm. Karnice;4105;3343
320504;gm. Płoty;9053;7230
320507;gm. Rewal;3700;3147
320508;gm. Trzebiatów;16211;13081
320601;gm. Banie;6407;5125
320602;gm. Cedynia;4440;3597
320603;gm. Chojna;13728;11101
320604;gm. Gryfino;30742;25148
320605;gm. Mieszkowice;7291;5860
320606;gm. Moryń;4375;3490
320607;gm. Stare Czarnowo;3835;3125
320608;gm. Trzcińsko-Zdrój;5590;4553
320609;gm. Widuchowa;5470;4376
320701;gm. Dziwnów;3916;3349
320702;gm. Golczewo;5870;4879
320703;gm. Kamień Pomorski;14097;11853
320704;gm. Międzyzdroje;6388;5419
320705;gm. Świerzno;4260;3427
320706;gm. Wolin;12042;9944
320801;m. Kołobrzeg;43679;36776
320802;gm. Dygowo;5572;4434
320803;gm. Gościno;5219;4110
320804;gm. Kołobrzeg;10511;8406
320805;gm. Rymań;4148;3333
320806;gm. Siemyśl;3715;2947
320807;gm. Ustronie Morskie;3611;3057
320901;gm. Będzino;8487;6872
320902;gm. Biesiekierz;6401;5021
320903;gm. Bobolice;9342;7499
320904;gm. Manowo;6598;5283
320905;gm. Mielno;4952;4159
320906;gm. Polanów;8856;7065
320907;gm. Sianów;13580;10970
320908;gm. Świeszyno;6806;5467
321001;gm. Barlinek;19032;15549
321002;gm. Boleszkowice;2901;2336
321003;gm. Dębno;20325;16416
321004;gm. Myślibórz;19815;16367
321005;gm. Nowogródek Pomorski;3451;2713
321101;gm. Dobra (Szczecińska);19376;15023
321102;gm. Kołbaskowo;11259;8778
321103;gm. Nowe Warpno;1559;1332
321104;gm. Police;38965;32085
321201;gm. Bielice;3125;2467
321202;gm. Kozielice;2627;2102
321203;gm. Lipiany;5937;4851
321204;gm. Przelewice;5232;4237
321205;gm. Pyrzyce;18930;15572
321206;gm. Warnice;3517;2849
321301;m. Darłowo;13497;11353
321302;m. Sławno;12308;10134
321303;gm. Darłowo;7967;6399
321304;gm. Malechowo;6602;5242
321305;gm. Postomino;7108;5585
321306;gm. Sławno;8906;7014
321401;m. Stargard Szczeciński;65194;53972
321402;gm. Chociwel;5932;4811
321403;gm. Dobrzany;5028;4146
321404;gm. Dolice;7990;6368
321405;gm. Ińsko;3567;3006
321406;gm. Kobylanka;4899;4048
321408;gm. Marianowo;3130;2507
321409;gm. Stara Dąbrowa;3731;2930
321410;gm. Stargard Szczeciński;12618;9928
321411;gm. Suchań;4255;3478
321501;m. Szczecinek;38515;31987
321502;gm. Barwice;8717;7004
321503;gm. Biały Bór;5255;4310
321504;gm. Borne Sulinowo;9486;7704
321505;gm. Grzmiąca;5111;4099
321506;gm. Szczecinek;9375;7374
321601;m. Świdwin;15118;12421
321602;gm. Brzeżno;2853;2292
321603;gm. Połczyn-Zdrój;15377;12856
321604;gm. Rąbino;3874;3066
321605;gm. Sławoborze;4152;3375
321606;gm. Świdwin;6146;4956
321701;m. Wałcz;24676;20451
321702;gm. Człopa;5128;4112
321703;gm. Mirosławiec;5312;4235
321704;gm. Tuczno;4974;4034
321705;gm. Wałcz;12504;9977
321801;gm. Dobra;4392;3575
321802;gm. Łobez;13706;11285
321803;gm. Radowo Małe;3721;3014
321804;gm. Resko;7955;6368
321805;gm. Węgorzyno;7065;5751
326101;m. Koszalin;102338;85160
326201;m. Szczecin;370274;308814
326301;m. Świnoujście;38573;32924
